concentration
1.02
1.3
0.98
0.81
0.07
0.95
0.39
0.82
1.44
1.26
1.4
1.2
1.14
0.9
0.84
1.62
0.54
1.08
1.29
1.85
1.68
1.58
0.61
0.72
2.1
0.24
1.2
1.37
